"","p0Fitted","kgFitted","Tg1Fitted","Tg2Fitted","khFitted","ThFitted","type","freq","rss"
"327",100.1,1.64,43.7,6.2,1.04,48.5,"minimum",13,0.874085133174434
"347",100.1,1.65,43.5,6.2,1.04,48.3,"minimum",13,10.3173014470275
"24",100,0.74,32.2,9.9,1.05,5,"minimum",12,0.0549093014959336
"60",100.1,1.69,33.8,6.4,1.04,33.9,"saddle",12,2.86232432612441
"77",100,1.51,28,5.8,1.05,21.5,"minimum",12,5.74974826373653
"122",100,1.54,28.2,5.8,1.05,22.1,"minimum",12,0.805260991116077
"216",100.1,1.66,41.8,6.2,1.04,45.8,"minimum",12,14.0350466139458
"292",100.1,1.65,42.1,6.2,1.04,46.2,"minimum",12,1.88881611943487
"350",100.1,1.66,41,6.3,1.04,44.7,"minimum",12,0.260889895532958
"155",100.1,1.69,33.7,6.4,1.04,33.5,"saddle",11,0.425646288397854
"161",100.1,1.69,33.5,6.4,1.04,33.4,"saddle",11,2.55078160808463
"207",100,1.51,28,5.8,1.05,21.4,"minimum",11,2.14024700177885
"233",100.1,1.69,33.1,6.4,1.04,32.5,"saddle",11,0.646240584837351
"249",100.1,1.69,35.4,6.4,1.04,36.3,"saddle",11,0.330859487734336
"290",100.1,1.66,41.6,6.2,1.04,45.6,"minimum",11,8.17038716045382
"293",100.1,1.69,35,6.4,1.04,35.8,"saddle",11,1.49730144334987
"315",100.1,1.69,32.7,6.4,1.04,32,"saddle",11,0.684562524657525
"328",100.1,1.65,42.8,6.2,1.04,47.2,"minimum",11,6.63244489626063
"341",100.1,1.66,41.7,6.2,1.04,45.8,"minimum",11,7.23138868937029
"41",100.1,1.64,44.2,6.2,1.04,49.2,"minimum",10,3.47308837027409
"91",100.1,1.69,35.7,6.4,1.04,36.8,"saddle",10,0.319499234906158
"114",100.1,1.64,44.5,6.1,1.04,49.8,"minimum",10,9.43560727868786
"226",100.1,1.69,35.2,6.4,1.04,36.1,"saddle",10,1.0496743022447
"270",100.1,1.66,40.5,6.3,1.04,44,"minimum",10,0.729145814531008
"305",100,1.54,28.2,5.9,1.05,22.2,"minimum",10,3.19547170156196
"308",100.1,1.66,41.6,6.3,1.04,45.5,"minimum",10,3.2278937364456
"323",100.1,1.64,43.5,6.2,1.04,48.4,"minimum",10,0.653024761702619
"360",100.1,1.66,41.1,6.3,1.04,44.8,"minimum",10,0.738025397712376
"361",100.1,1.66,40.8,6.3,1.04,44.4,"minimum",10,0.194090017126281
"434",100.1,1.65,43,6.2,1.04,47.5,"minimum",10,8.07223664559139
"185",100.1,1.69,35.3,6.4,1.04,36.1,"saddle",9,0.487306272473182
"221",100.1,1.69,34.8,6.4,1.04,35.5,"saddle",9,2.04183079735555
"235",100.1,1.69,35.8,6.4,1.04,37,"saddle",9,0.331779929461627
"326",100.1,1.64,44.2,6.2,1.04,49.4,"minimum",9,0.508966534959789
"392",100.1,1.66,41.3,6.3,1.04,45.2,"minimum",9,0.296676538408706
"58",99.9,1.03,28.7,4.4,1.05,13.3,"saddle",8,2.83606566526709
"222",100.1,1.69,32.8,6.4,1.04,32.2,"saddle",8,1.18431504605918
"223",100.1,1.69,35,6.4,1.04,35.6,"saddle",8,0.540685857280472
"307",100.1,1.66,41.4,6.3,1.04,45.2,"minimum",8,2.36529598526651
"312",100.1,1.69,36.1,6.4,1.04,37.5,"saddle",8,0.340183924546853
"314",100.1,1.67,39.6,6.3,1.04,42.7,"minimum",8,0.813738564204006
"329",100.1,1.65,43,6.2,1.04,47.7,"minimum",8,2.69205593321905
"362",100.1,1.69,35.6,6.4,1.04,36.6,"saddle",8,0.450305142727468
"374",100.1,1.67,39.7,6.3,1.04,42.8,"minimum",8,1.71354118005057
